food_beverage_id,food_item,food_category,sample_preparation,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized
FW_0134,Oyster (C. gigas),Marine animal origin,"Digestion: 30% H2O2 (60°C, 1 h + 80 rpm, untill complete digestion); density separation: NaCl",0,Fibers: 530 ± 470 µm Particles: 60.01 ± 38 µm,UNKNOWN,Epifluorence reverse microscopy
FW_0135,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (100 rpm, 60°C, 24 h); density separation: lithium metatungstate (ρ = 1.6 g/cm3)",0.77,100–200 µm,PE,µ-FTIR
FW_0136,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h); density separation: CaCl2 (ρ = 1.4 g/mL)",0.1,10–5000 µm,PES,Optical microscopy
FW_0137,Oyster (C. gigas),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O5",30,10–5000 µm,UNKNOWN,Optical microscopy
FW_0138,Oyster (C. gigas),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h); density separation: 25% saline solution",0.04,50–150 µm,PP,Optical microscopy
FW_0139,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h); density separation: as such (4 h) + 50% KI (4 h)",2.1,50–100 µm,PE,µ-FTIR
FW_0140,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); ASE dichloromethane (180°C, 1500 psi)",0,Not Reported,PS,Py-GC/MS
FW_0141,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h)",0,159–2236 µm,PP,Optical microscopy
FW_0142,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); sequential filtration (size fractions > 22 μm / 1–22 μm / < 1 μm); ASE dichloromethane (180 °C, 1500 psi)",0,> 22 µm,PP,Py-GC/MS
FW_0143,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); sequential filtration (size fractions > 22 μm / 1–22 μm / < 1 μm); ASE dichloromethane (180 °C, 1500 psi)",0,1–22 µm,PP,Py-GC/MS
FW_0144,Oyster (C. gigas),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); sequential filtration (size fractions > 22 μm / 1–22 μm / < 1 μm); ASE dichloromethane (180 °C, 1500 psi)",0,< 1 µm,PP,Py-GC/MS
